([1,2,3,5,6,7,9,10,11,17,22,24,29],False)
([2,3,8,9,12,13,14,16,21,25,27,28,29],False)
([0,2,5,6,14,15,16,17,20,21,24,25,27],False)
([1,4,5,8,9,14,15,17,18,22,25,27,29],False)
([0,2,5,9,11,16,20,22,23,24,26,27,29],False)
([2,3,6,10,11,13,14,15,16,20,21,22,28],True)
([1,3,8,11,14,15,18,19,20,21,23,24,29],False)
([1,2,3,5,8,10,12,14,17,20,21,22,26],True)
([5,9,10,12,14,15,16,19,20,21,24,25,28],False)
([0,1,2,3,5,7,10,11,14,17,18,24,28],False)
([1,4,7,9,11,13,15,16,19,20,23,25,29],False)
([0,2,5,6,13,17,18,21,22,25,26,27,28],False)
([2,3,4,8,10,11,14,18,19,23,25,28,29],False)
([1,2,9,11,13,16,18,21,23,25,27,28,29],False)
([0,2,5,8,9,12,13,14,15,16,19,25,28],False)
([0,2,4,5,6,7,10,14,15,20,23,26,28],False)
([2,3,4,8,10,11,16,18,19,23,26,28,29],False)
([2,4,5,7,11,12,16,18,19,20,22,26,29],False)
([5,6,8,9,10,11,12,14,15,19,22,26,29],False)
([2,3,4,5,6,14,16,18,19,20,21,27,28],False)
([0,1,2,3,4,6,8,10,16,18,19,20,25],True)
([2,3,6,8,11,12,18,19,20,21,22,27,28],False)
([0,1,5,10,11,12,15,16,17,20,21,27,29],False)
([0,1,4,6,8,9,15,16,19,21,26,27,28],False)
([0,5,6,9,13,19,22,23,24,25,26,27,28],True)
([1,8,9,14,16,18,19,23,24,25,27,28,29],True)
([0,1,2,3,4,8,10,11,14,23,24,27,29],False)
([0,1,2,3,5,7,8,13,15,16,20,21,23],False)
([2,6,10,12,13,15,16,17,20,24,25,26,29],False)
([1,3,5,10,12,16,17,19,20,25,26,27,29],False)
([2,4,5,6,7,8,10,12,17,19,20,21,24],True)
([1,4,5,7,8,14,15,17,18,24,26,27,28],False)
([1,2,4,5,6,8,13,14,18,19,21,24,25],False)
([3,5,6,8,12,13,18,19,20,21,23,27,29],False)
([2,3,4,7,9,11,14,15,17,19,21,27,28],False)
([2,3,4,5,7,9,11,12,15,19,20,23,26],True)
([2,6,10,11,12,16,17,18,20,21,23,28,29],False)
