([2,4,8,10,12,14,15,19,20,21,26,27,29],False)
([0,1,2,3,6,7,8,17,18,20,23,25,26],False)
([1,3,4,5,6,8,9,10,14,16,23,26,29],True)
([0,3,5,7,8,11,12,16,18,21,25,27,29],False)
([2,3,6,7,8,9,11,12,15,19,20,25,28],True)
([2,3,5,7,10,11,13,14,18,19,21,26,29],True)
([1,2,3,4,7,8,10,11,12,15,19,24,26],False)
([0,2,3,4,6,9,11,12,13,18,19,24,26],False)
([2,5,6,9,12,13,14,15,16,18,19,20,21],False)
([2,3,4,5,7,9,15,16,22,24,27,28,29],False)
([1,2,4,6,8,15,16,19,24,25,26,27,29],False)
([3,5,7,10,11,12,15,17,19,22,24,28,29],False)
([6,7,8,9,13,16,17,19,20,24,26,28,29],False)
([0,3,4,8,11,12,17,19,21,22,26,27,29],False)
([0,1,7,8,10,11,15,16,18,25,26,27,29],False)
([0,5,7,8,11,12,14,15,18,19,22,24,29],True)
([0,1,4,6,7,8,9,13,16,18,22,24,29],True)
([2,3,4,6,10,11,12,15,17,22,24,25,26],False)
([0,2,5,6,8,10,11,14,15,17,19,24,25],False)
([0,1,2,7,9,11,16,17,19,20,22,25,28],False)
([0,1,3,7,8,9,11,14,16,18,19,20,23],False)
([0,1,2,6,7,10,11,16,19,21,22,24,29],False)
([0,2,6,7,14,15,18,19,23,24,27,28,29],False)
([3,4,8,10,11,12,14,16,21,22,23,25,26],False)
([1,4,6,9,10,11,14,15,18,21,24,25,27],False)
([1,3,4,8,9,18,19,22,23,24,25,26,27],False)
([0,3,4,7,8,9,10,12,15,16,18,20,22],False)
([0,1,3,5,13,14,15,17,18,24,25,27,29],False)
([0,1,2,4,6,8,10,11,16,18,23,25,27],True)
([2,3,8,9,11,12,14,18,19,21,24,25,28],False)
([2,3,4,7,9,10,11,12,17,18,19,25,27],False)
([3,10,11,13,14,16,18,20,22,23,25,26,28],False)
([2,5,7,8,9,13,16,22,23,26,27,28,29],False)
([2,3,4,6,7,8,12,14,17,18,23,27,29],True)
([1,2,7,9,10,13,14,16,20,22,23,28,29],False)
([0,1,2,5,7,8,10,13,16,18,20,22,27],True)
([0,1,5,7,10,13,16,18,19,21,22,25,29],False)
([4,5,10,13,15,16,17,18,21,22,23,25,26],False)
([1,3,6,9,11,12,14,16,17,18,19,22,28],False)
([3,5,6,7,8,10,15,16,21,23,25,27,29],False)
([0,6,7,10,11,13,14,16,20,25,27,28,29],False)
([4,5,6,7,9,12,14,18,19,22,26,28,29],False)
([1,2,4,6,10,12,17,20,22,23,25,26,29],False)
([0,6,7,8,10,11,12,15,16,18,23,28,29],True)
([1,2,5,9,11,14,17,18,20,21,24,26,27],False)
([2,5,8,9,12,13,16,17,18,21,23,26,28],False)
([0,1,4,5,6,7,14,18,19,23,25,27,29],False)
([0,4,5,11,12,13,14,17,18,20,23,24,29],False)
([2,3,5,6,8,9,12,13,14,19,22,27,29],True)
([0,1,3,5,6,11,13,14,16,17,19,26,27],False)
([1,2,6,7,8,10,16,18,19,22,23,24,29],False)
([4,5,10,13,16,18,19,22,24,26,27,28,29],False)
([2,4,5,7,14,16,17,21,22,24,25,28,29],False)
([1,5,9,10,11,12,13,14,16,19,24,26,29],True)
([2,8,9,10,13,16,20,21,22,23,25,27,29],False)
([1,4,5,7,8,12,13,14,15,17,19,20,21],False)
([1,4,5,6,7,10,12,13,15,18,22,23,27],True)
([0,1,4,6,9,10,11,13,14,17,23,24,26],True)
([0,2,9,10,11,12,13,14,19,20,21,26,29],False)
([1,3,6,10,13,14,17,19,20,21,24,28,29],False)
([0,4,5,12,13,16,18,21,22,24,25,26,28],False)
([0,5,6,7,10,11,14,18,20,21,23,26,27],False)
([0,2,4,9,12,17,18,20,23,24,26,27,28],False)
([0,11,12,14,15,16,18,19,22,24,25,27,29],False)
([0,3,5,6,7,8,10,15,16,20,21,22,28],False)
([2,3,6,10,11,12,14,15,17,21,22,25,29],False)
([1,2,3,4,6,7,8,9,13,15,19,22,29],False)
([3,4,10,14,16,17,19,20,21,23,24,28,29],False)
([0,2,4,5,6,8,9,16,18,19,20,22,26],True)
([0,2,6,8,15,16,18,22,23,24,26,28,29],False)
([6,7,8,11,13,16,17,19,20,22,23,28,29],False)
([0,3,6,8,10,11,13,14,16,20,21,26,28],False)
([1,4,6,7,9,13,18,19,20,22,23,24,27],False)
([0,3,4,9,11,12,15,16,17,20,23,28,29],False)
([8,10,11,13,14,15,16,18,19,20,24,25,27],False)
([0,7,8,10,16,17,20,21,22,24,25,26,27],False)
([1,4,6,7,10,11,13,15,16,17,18,25,27],False)
([0,3,4,7,10,12,13,18,20,21,22,23,25],False)
([1,6,8,14,15,16,17,18,20,21,25,27,29],False)
([2,5,6,7,8,10,11,12,14,18,21,22,26],True)
([0,3,7,8,9,11,13,16,21,23,24,26,29],False)
([1,3,7,10,13,14,16,20,21,22,24,28,29],False)
([1,6,8,10,12,16,17,19,20,23,26,27,28],False)
([3,5,7,8,10,11,13,14,18,20,22,25,26],False)
([5,9,10,12,13,15,16,17,20,21,22,23,24],False)
([0,4,6,11,12,14,17,19,20,22,23,25,28],False)
([5,6,7,8,14,15,18,20,21,22,23,25,28],False)
([2,6,10,11,14,17,18,22,23,24,25,27,28],False)
([1,4,5,7,8,10,11,14,15,20,25,26,27],False)
([7,8,9,10,11,15,18,19,20,22,24,26,27],False)
([0,4,5,6,10,12,13,15,17,18,19,21,28],False)
([0,2,3,4,5,7,10,11,17,19,22,25,29],True)
