([0,2,3,5,7,8,9,11,13,14,16,18,23,25,26,30,35,37,38,41,43,45,51,52,53,54,55,57,58,61,62,63],False)
([1,3,6,8,9,10,11,12,13,15,16,17,18,19,23,25,26,27,28,29,32,34,36,38,40,43,48,49,53,60,61,63],False)
([0,4,5,10,12,13,14,21,22,24,26,27,29,30,31,34,36,38,40,45,46,48,50,51,53,54,56,57,60,61,62,63],False)
([0,1,6,7,8,13,14,15,17,18,19,20,21,23,24,26,29,32,33,34,36,37,40,42,43,44,51,53,54,57,61,62],False)
([0,1,5,7,8,9,13,15,16,17,18,24,26,27,29,30,32,35,39,44,45,46,47,48,50,51,57,58,59,60,62,63],False)
([0,6,8,10,12,13,16,17,19,20,21,22,24,28,29,30,31,32,34,35,37,41,46,47,49,50,51,55,60,61,62,63],False)
([0,1,2,5,6,9,10,16,19,20,21,22,23,24,25,28,29,31,33,35,36,37,42,43,48,49,50,51,52,55,56,57],False)
([0,3,4,5,7,8,12,13,15,17,20,22,23,24,31,32,33,36,38,39,40,43,44,46,47,52,53,55,58,59,62,63],False)
([0,3,4,5,7,8,10,11,13,15,20,21,22,24,25,26,27,28,36,37,38,39,40,41,43,47,50,51,52,54,56,62],False)
([0,1,2,7,8,10,11,13,14,15,19,22,24,28,29,30,31,32,35,36,38,39,42,43,44,46,47,50,52,56,57,58],False)
([0,3,10,11,12,13,15,16,18,21,22,23,30,32,33,34,35,37,42,43,44,45,47,49,51,53,54,56,57,60,61,63],False)
([0,1,3,5,6,7,9,11,12,14,19,20,21,23,24,26,27,33,34,38,42,46,47,48,49,51,52,53,54,55,61,63],False)
([0,3,5,8,10,14,17,18,19,20,25,26,27,28,29,31,33,35,36,41,45,46,47,48,49,52,53,57,58,60,61,63],False)
([3,8,9,10,11,14,15,16,17,19,20,21,22,23,27,28,31,34,35,36,37,38,42,43,45,47,48,49,53,56,60,62],False)
([0,1,2,5,6,8,9,10,12,13,17,19,22,23,24,30,31,33,35,36,37,42,43,44,50,52,53,54,56,60,62,63],False)
([2,3,4,6,8,9,11,12,14,15,16,21,22,23,24,25,26,27,28,29,36,39,43,47,48,49,50,52,57,58,59,60],False)
([1,3,4,5,6,8,9,10,11,16,17,19,21,23,25,26,27,28,30,31,32,33,34,44,46,47,48,49,53,59,60,62],False)
([1,2,3,5,6,10,12,14,16,18,20,22,23,25,28,30,34,35,36,39,41,42,43,45,46,47,52,55,60,61,62,63],False)
([0,1,3,4,5,6,14,15,19,20,21,24,26,29,32,34,37,41,42,43,44,46,49,50,51,52,54,56,58,59,61,63],False)
([3,7,10,11,14,19,20,21,22,23,24,25,26,27,29,31,32,36,37,38,39,42,45,46,48,54,55,56,57,59,60,62],False)
([0,6,10,12,13,14,15,18,19,20,21,22,23,27,30,36,38,40,41,43,44,46,47,48,49,50,53,54,57,60,62,63],False)
([2,4,6,8,9,11,12,20,23,24,25,27,30,32,33,34,38,39,41,43,44,46,51,52,53,55,56,58,60,61,62,63],False)
([3,4,5,7,8,11,12,13,14,16,20,21,23,27,30,32,33,34,38,39,42,43,44,45,47,50,52,56,59,60,61,63],False)
([0,2,4,5,8,11,12,14,22,26,27,31,32,33,36,38,39,43,44,45,47,48,49,50,51,52,53,54,56,57,58,62],False)
([3,4,5,6,9,14,17,18,20,21,22,25,28,29,35,36,37,38,39,40,41,42,44,51,52,53,55,56,57,59,60,63],False)
([0,2,3,5,8,10,13,14,16,17,18,19,20,22,23,24,32,35,36,37,39,41,42,44,45,50,52,55,56,61,62,63],False)
([0,1,3,5,10,12,13,14,15,16,19,20,21,23,25,28,30,33,34,36,37,39,46,48,50,52,53,56,57,60,61,63],False)
([2,3,4,5,6,7,8,13,18,20,24,28,29,30,31,34,36,39,40,41,42,43,44,45,46,49,50,54,55,57,58,59],False)
([0,2,4,7,9,10,12,14,15,16,17,22,23,26,28,30,31,36,41,43,44,45,46,47,48,49,55,56,59,60,62,63],False)
([1,3,5,7,9,10,12,14,15,17,20,21,24,26,29,30,31,32,33,36,38,40,46,47,48,50,51,52,53,57,58,61],False)
([1,2,3,8,9,11,12,13,16,19,21,24,26,27,31,32,33,35,36,40,41,42,44,45,46,47,49,50,51,53,60,61],False)
([1,4,9,10,12,13,14,15,18,21,22,24,26,28,29,30,31,35,37,38,39,42,43,46,50,51,52,55,56,58,62,63],False)
([3,6,8,12,15,16,18,19,20,22,23,26,31,32,34,35,37,39,40,41,44,46,47,48,49,52,53,54,56,57,60,63],False)
([2,4,5,7,9,12,13,15,17,18,19,22,23,25,26,28,30,31,35,36,37,42,45,46,49,50,52,55,56,59,60,62],False)
([0,2,5,6,7,8,13,14,15,18,20,21,23,25,26,28,32,33,34,37,41,42,43,44,45,52,53,55,57,60,62,63],False)
([1,3,6,7,8,9,12,15,16,17,18,21,24,25,26,27,30,31,36,37,38,39,40,41,44,49,51,54,57,61,62,63],False)
([4,5,6,7,14,15,16,21,23,26,29,30,32,34,35,36,37,38,39,42,44,45,46,47,49,51,52,55,56,57,58,61],False)
([0,1,3,8,9,13,18,19,20,22,24,27,29,30,31,33,34,35,38,41,43,45,47,48,49,50,52,53,54,57,60,61],False)
([0,1,3,6,7,12,15,17,18,20,21,23,25,26,27,28,30,33,34,37,40,43,44,46,47,49,50,52,55,57,58,63],False)
([2,4,6,7,10,15,16,17,18,20,21,24,25,26,27,28,30,31,35,36,38,39,40,43,48,52,53,54,55,57,58,60],False)
([1,2,4,5,6,8,10,12,13,15,16,19,20,21,23,28,29,31,32,33,37,39,40,42,44,45,49,51,53,58,59,61],False)
([2,3,4,9,10,11,15,18,19,20,23,24,25,26,27,28,30,31,33,34,37,43,46,48,52,53,55,56,57,59,61,62],False)
([0,3,4,5,7,8,12,15,17,21,25,27,28,31,33,34,41,42,43,44,45,46,47,49,51,55,57,58,59,61,62,63],False)
([1,2,3,4,5,7,8,12,16,19,20,26,27,29,31,32,33,34,35,37,38,40,43,45,46,49,53,54,55,59,61,63],False)
([1,2,8,9,10,11,19,20,21,24,25,27,29,30,31,37,38,41,42,43,44,46,47,48,49,50,51,54,55,58,60,63],False)
([0,1,4,5,6,7,12,14,15,17,22,23,26,30,33,34,36,40,42,43,44,46,49,50,51,52,53,56,58,59,60,63],False)
([0,2,5,6,7,10,11,12,17,19,20,22,23,24,26,27,28,30,32,33,37,38,41,44,47,51,53,55,58,59,60,62],False)
([0,4,9,13,15,16,17,19,20,21,22,23,24,25,30,31,33,34,35,38,39,40,42,44,46,49,50,51,53,56,60,62],False)
([2,3,5,7,12,19,22,23,24,26,28,29,31,32,35,36,37,40,41,42,44,45,48,49,50,51,52,54,55,57,61,63],False)
([0,2,4,5,12,15,16,19,26,28,31,32,33,35,36,37,41,43,44,45,46,48,49,50,51,52,53,54,59,60,62,63],False)
([2,3,4,7,8,9,10,11,14,15,16,17,18,19,26,27,28,31,38,40,42,43,47,48,49,50,53,57,58,59,61,63],False)
